File Start timestamp: 
2024-1-8,0:0:25
DeviceId,NO2(PPB),CO(PPM),PM1(UGM3),PM2.5(UGM3),PM10(UGM3),CO2(PPM),RELHUM(%),TEMP(C),PRESS(HPA),OZONE(PPB),Voltage(),LAT(LAT),LON(LON),Battery(%),Cell-Strength(),Date,Time
1526,-61.1,0.12,10,15,15,392,74.1,21.1,851.3,43.20,12.35,-25.9109040,28.2102908,47.71,00,2024-1-8,00:00:26
1526,-56.7,0.10,13,18,18,392,74.2,21.1,851.3,42.70,12.26,-25.9109055,28.2102914,47.71,00,2024-1-8,00:00:42
1526,-60.8,0.07,13,18,18,393,74.2,21.1,851.3,43.00,12.34,-25.9109073,28.2102924,47.71,00,2024-1-8,00:00:56
1526,-65.1,0.12,13,18,19,393,74.3,21.1,851.3,42.90,12.27,-25.9109058,28.2102885,47.71,00,2024-1-8,00:01:11
1526,-65.1,0.09,13,18,19,393,74.2,21.1,851.3,42.90,12.34,-25.9109023,28.2102838,47.71,00,2024-1-8,00:01:26
1526,-69.5,0.10,14,19,20,392,74.1,21.2,851.3,41.70,12.33,-25.9109003,28.2102812,47.71,00,2024-1-8,00:01:41
1526,-56.7,0.19,14,19,20,392,74.3,21.2,851.3,43.10,12.24,-25.9109060,28.2102826,47.71,00,2024-1-8,00:01:56
1526,-65.1,0.14,14,19,19,393,74.3,21.2,851.3,45.30,12.33,-25.9109093,28.2102794,47.71,00,2024-1-8,00:02:11
1526,-56.7,0.15,13,17,17,392,74.3,21.2,851.3,43.30,12.27,-25.9109095,28.2102759,47.71,00,2024-1-8,00:02:26
1526,-65.1,0.14,13,17,17,392,74.3,21.2,851.4,44.00,12.25,-25.9109188,28.2102775,47.71,00,2024-1-8,00:02:41
1526,-65.1,0.14,14,18,18,393,74.2,21.2,851.4,43.40,12.31,-25.9109213,28.2102798,47.71,00,2024-1-8,00:02:56
1526,-61.1,0.07,13,20,20,391,74.3,21.1,851.4,43.50,12.25,-25.9109155,28.2102787,47.71,00,2024-1-8,00:03:11
1526,-61.1,0.13,13,20,20,390,74.2,21.1,851.4,42.60,12.27,-25.9109118,28.2102771,47.71,00,2024-1-8,00:03:26
1526,-65.5,0.14,13,21,21,392,73.9,21.1,851.4,42.60,12.23,-25.9109083,28.2102784,47.71,00,2024-1-8,00:03:41
1526,-61.1,0.10,13,21,21,394,73.9,21.1,851.3,44.90,12.24,-25.9109071,28.2102829,47.71,00,2024-1-8,00:03:56
1526,-69.5,0.12,12,18,18,394,73.8,21.1,851.3,42.80,12.29,-25.9109069,28.2102840,47.71,00,2024-1-8,00:04:11
1526,-69.5,0.13,14,18,19,395,73.7,21.2,851.3,44.40,12.26,-25.9109075,28.2102816,47.71,00,2024-1-8,00:04:26
1526,-65.1,0.13,13,17,18,394,73.7,21.1,851.3,42.90,12.28,-25.9109085,28.2102844,47.71,00,2024-1-8,00:04:41
1526,-61.1,0.09,13,17,18,393,73.9,21.1,851.3,44.20,12.29,-25.9109113,28.2102916,47.71,00,2024-1-8,00:04:56
1526,-61.1,0.11,12,17,18,394,73.8,21.1,851.3,44.00,12.36,-25.9109095,28.2102932,47.71,00,2024-1-8,00:05:11
1526,-61.1,0.16,12,17,18,394,73.7,21.1,851.3,44.20,12.24,-25.9109042,28.2102956,47.71,00,2024-1-8,00:05:26
