File Start timestamp: 
2024-1-1,0:0:26
DeviceId,NO2(PPB),CO(PPM),PM1(UGM3),PM2.5(UGM3),PM10(UGM3),CO2(PPM),RELHUM(%),TEMP(C),PRESS(HPA),OZONE(PPB),Voltage(),LAT(LAT),LON(LON),Battery(%),Cell-Strength(),Date,Time
1526,-52.4,0.38,19,28,30,418,66.3,20.6,850.3,11.00,12.22,-25.9109549,28.2102679,50.01,00,2024-1-1,00:00:27
1526,-48.0,0.39,19,30,31,418,66.3,20.6,850.3,13.10,12.24,-25.9109416,28.2102731,50.01,00,2024-1-1,00:00:42
1526,-52.4,0.40,20,31,32,417,66.3,20.6,850.4,11.90,12.31,-25.9109354,28.2102767,50.01,00,2024-1-1,00:00:57
1526,-52.4,0.40,22,31,33,416,66.3,20.6,850.3,10.70,12.25,-25.9109309,28.2102779,50.01,00,2024-1-1,00:01:12
1526,-52.4,0.42,22,31,33,416,66.2,20.6,850.4,8.80,12.25,-25.9109295,28.2102811,50.01,00,2024-1-1,00:01:27
1526,-52.4,0.41,22,32,33,415,66.2,20.6,850.3,8.80,12.29,-25.9109291,28.2102842,50.01,00,2024-1-1,00:01:42
1526,-48.0,0.39,21,31,32,413,66.2,20.7,850.4,9.50,12.27,-25.9109283,28.2102836,50.01,00,2024-1-1,00:01:57
1526,-56.4,0.45,20,31,32,412,66.1,20.7,850.3,11.80,12.37,-25.9109242,28.2102799,50.01,00,2024-1-1,00:02:12
1526,-48.0,0.42,20,30,32,412,66.1,20.7,850.3,13.00,12.37,-25.9109217,28.2102776,50.01,00,2024-1-1,00:02:27
1526,-52.4,0.45,20,30,32,412,66.1,20.7,850.3,12.90,12.30,-25.9109211,28.2102799,50.01,00,2024-1-1,00:02:42
1526,-56.4,0.38,20,30,32,412,66.0,20.7,850.3,11.20,12.25,-25.9109224,28.2102845,50.01,00,2024-1-1,00:02:57
1526,-56.4,0.44,20,30,33,410,66.1,20.7,850.3,11.00,12.24,-25.9109200,28.2102888,50.01,00,2024-1-1,00:03:12
1526,-48.0,0.38,19,30,32,410,66.0,20.7,850.3,11.60,12.41,-25.9109158,28.2102913,50.01,00,2024-1-1,00:03:27
1526,-52.4,0.45,20,33,37,410,66.0,20.7,850.3,10.70,12.28,-25.9109096,28.2102896,50.01,00,2024-1-1,00:03:42
1526,-56.4,0.47,20,33,36,408,65.9,20.8,850.3,10.70,12.24,-25.9109081,28.2102872,50.01,00,2024-1-1,00:03:57
1526,-52.4,0.41,20,33,36,408,65.9,20.7,850.3,10.00,12.24,-25.9109079,28.2102848,50.01,00,2024-1-1,00:04:12
1526,-52.4,0.47,20,35,38,407,65.8,20.7,850.3,10.30,12.14,-25.9109082,28.2102829,50.01,00,2024-1-1,00:04:27
