period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,sample_rh,sample_temp,sample_pres,pm1,pm25,pm10
2024-01-01T00:00:00+02:00,2024-01-02T00:00:00+02:00,2023-12-31T22:00:00+00:00,2024-01-01T22:00:00+00:00,MOD-PM-00523,1440,48.684,26.302,0.0,50.612,52.163,69.928
2024-01-02T00:00:00+02:00,2024-01-03T00:00:00+02:00,2024-01-01T22:00:00+00:00,2024-01-02T22:00:00+00:00,MOD-PM-00523,1309,56.563,24.463,0.0,19.052,19.312,22.313
2024-01-03T00:00:00+02:00,2024-01-04T00:00:00+02:00,2024-01-02T22:00:00+00:00,2024-01-03T22:00:00+00:00,MOD-PM-00523,1440,62.393,23.494,0.0,21.056,21.474,27.066
2024-01-04T00:00:00+02:00,2024-01-05T00:00:00+02:00,2024-01-03T22:00:00+00:00,2024-01-04T22:00:00+00:00,MOD-PM-00523,1440,54.348,24.484,0.0,23.763,24.127,28.013
2024-01-05T00:00:00+02:00,2024-01-06T00:00:00+02:00,2024-01-04T22:00:00+00:00,2024-01-05T22:00:00+00:00,MOD-PM-00523,1440,67.462,21.375,0.0,23.057,23.485,28.226
2024-01-06T00:00:00+02:00,2024-01-07T00:00:00+02:00,2024-01-05T22:00:00+00:00,2024-01-06T22:00:00+00:00,MOD-PM-00523,1440,56.909,24.91,0.0,34.131,34.754,40.847
2024-01-07T00:00:00+02:00,2024-01-08T00:00:00+02:00,2024-01-06T22:00:00+00:00,2024-01-07T22:00:00+00:00,MOD-PM-00523,1440,56.47,25.046,0.0,32.455,32.949,37.78
2024-01-08T00:00:00+02:00,2024-01-09T00:00:00+02:00,2024-01-07T22:00:00+00:00,2024-01-08T22:00:00+00:00,MOD-PM-00523,1437,61.781,24.017,0.0,20.766,21.069,24.484
2024-01-09T00:00:00+02:00,2024-01-10T00:00:00+02:00,2024-01-08T22:00:00+00:00,2024-01-09T22:00:00+00:00,MOD-PM-00523,1440,74.7,20.242,0.0,15.896,16.381,21.222
2024-01-10T00:00:00+02:00,2024-01-11T00:00:00+02:00,2024-01-09T22:00:00+00:00,2024-01-10T22:00:00+00:00,MOD-PM-00523,1440,69.028,22.659,0.0,21.666,22.067,26.07
2024-01-11T00:00:00+02:00,2024-01-12T00:00:00+02:00,2024-01-10T22:00:00+00:00,2024-01-11T22:00:00+00:00,MOD-PM-00523,993,,,,,,
2024-01-12T00:00:00+02:00,2024-01-13T00:00:00+02:00,2024-01-11T22:00:00+00:00,2024-01-12T22:00:00+00:00,MOD-PM-00523,1440,69.892,23.618,0.0,18.374,18.853,24.316
2024-01-13T00:00:00+02:00,2024-01-14T00:00:00+02:00,2024-01-12T22:00:00+00:00,2024-01-13T22:00:00+00:00,MOD-PM-00523,1429,65.65,24.135,0.0,29.067,29.666,36.041
2024-01-14T00:00:00+02:00,2024-01-15T00:00:00+02:00,2024-01-13T22:00:00+00:00,2024-01-14T22:00:00+00:00,MOD-PM-00523,1425,61.39,25.177,0.0,27.968,28.361,32.479
2024-01-15T00:00:00+02:00,2024-01-16T00:00:00+02:00,2024-01-14T22:00:00+00:00,2024-01-15T22:00:00+00:00,MOD-PM-00523,1436,61.632,25.918,0.0,24.063,24.454,28.999
2024-01-16T00:00:00+02:00,2024-01-17T00:00:00+02:00,2024-01-15T22:00:00+00:00,2024-01-16T22:00:00+00:00,MOD-PM-00523,1423,70.256,23.102,0.0,37.545,38.172,45.155
2024-01-17T00:00:00+02:00,2024-01-18T00:00:00+02:00,2024-01-16T22:00:00+00:00,2024-01-17T22:00:00+00:00,MOD-PM-00523,1419,67.824,22.139,0.0,7.547,7.759,10.342
2024-01-18T00:00:00+02:00,2024-01-19T00:00:00+02:00,2024-01-17T22:00:00+00:00,2024-01-18T22:00:00+00:00,MOD-PM-00523,1427,68.373,18.714,0.0,12.773,13.294,20.141
2024-01-19T00:00:00+02:00,2024-01-20T00:00:00+02:00,2024-01-18T22:00:00+00:00,2024-01-19T22:00:00+00:00,MOD-PM-00523,1422,55.248,19.861,0.0,6.249,6.712,11.887
2024-01-20T00:00:00+02:00,2024-01-21T00:00:00+02:00,2024-01-19T22:00:00+00:00,2024-01-20T22:00:00+00:00,MOD-PM-00523,1440,46.629,21.412,0.0,8.535,9.315,18.409
2024-01-21T00:00:00+02:00,2024-01-22T00:00:00+02:00,2024-01-20T22:00:00+00:00,2024-01-21T22:00:00+00:00,MOD-PM-00523,1440,47.516,23.696,0.0,20.258,20.864,27.677
2024-01-22T00:00:00+02:00,2024-01-23T00:00:00+02:00,2024-01-21T22:00:00+00:00,2024-01-22T22:00:00+00:00,MOD-PM-00523,1425,49.166,25.005,0.0,26.986,27.657,36.875
2024-01-23T00:00:00+02:00,2024-01-24T00:00:00+02:00,2024-01-22T22:00:00+00:00,2024-01-23T22:00:00+00:00,MOD-PM-00523,1433,56.78,23.444,0.0,32.8,33.851,44.412
2024-01-24T00:00:00+02:00,2024-01-25T00:00:00+02:00,2024-01-23T22:00:00+00:00,2024-01-24T22:00:00+00:00,MOD-PM-00523,1429,57.447,24.325,0.0,23.126,24.209,34.516
2024-01-25T00:00:00+02:00,2024-01-26T00:00:00+02:00,2024-01-24T22:00:00+00:00,2024-01-25T22:00:00+00:00,MOD-PM-00523,1433,65.969,23.557,0.0,40.367,41.297,49.776
2024-01-26T00:00:00+02:00,2024-01-27T00:00:00+02:00,2024-01-25T22:00:00+00:00,2024-01-26T22:00:00+00:00,MOD-PM-00523,1433,65.448,24.082,0.0,32.797,33.531,41.593
2024-01-27T00:00:00+02:00,2024-01-28T00:00:00+02:00,2024-01-26T22:00:00+00:00,2024-01-27T22:00:00+00:00,MOD-PM-00523,1142,64.204,23.899,0.0,19.771,20.303,26.505
2024-01-28T00:00:00+02:00,2024-01-29T00:00:00+02:00,2024-01-27T22:00:00+00:00,2024-01-28T22:00:00+00:00,MOD-PM-00523,0,,,,,,
2024-01-29T00:00:00+02:00,2024-01-30T00:00:00+02:00,2024-01-28T22:00:00+00:00,2024-01-29T22:00:00+00:00,MOD-PM-00523,915,,,,,,
2024-01-30T00:00:00+02:00,2024-01-31T00:00:00+02:00,2024-01-29T22:00:00+00:00,2024-01-30T22:00:00+00:00,MOD-PM-00523,1418,61.762,25.563,0.0,41.519,42.425,49.5
2024-01-31T00:00:00+02:00,2024-02-01T00:00:00+02:00,2024-01-30T22:00:00+00:00,2024-01-31T22:00:00+00:00,MOD-PM-00523,1434,60.48,23.922,0.0,18.742,19.512,27.171
2024-02-01T00:00:00+02:00,2024-02-02T00:00:00+02:00,2024-01-31T22:00:00+00:00,2024-02-01T22:00:00+00:00,MOD-PM-00523,1415,54.015,24.484,0.0,20.089,20.886,30.447
