site_name,site_latitude,site_longitude,s1_pm2_5,s1_pm10,s2_pm2_5,s2_pm10,pm10,pm2_5,datetime,device_name,site_id,tenant,device_latitude,device_longitude,frequency
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,35.38,46.43,38.07,47.47,46.95,36.73,2023-12-13 04:29:44,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,36.05,44.68,36.87,44.6,44.64,36.46,2023-12-13 04:30:52,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,30.93,43.55,29.78,35.7,39.63,30.36,2023-12-13 04:32:01,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,31.83,39.52,35.48,43.32,41.42,33.66,2023-12-13 04:38:36,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,33.7,46.28,34.07,40.28,43.28,33.89,2023-12-13 04:39:45,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,30.03,38.77,31.35,35.25,37.01,30.69,2023-12-13 04:40:53,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,31.23,42.95,31.78,34.9,38.92,31.51,2023-12-13 04:42:01,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,30.87,41.88,33.1,41,41.44,31.98,2023-12-13 04:43:11,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,33.15,43.27,32.82,37.45,40.36,32.98,2023-12-13 05:04:18,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,23.87,33.27,26.93,31.48,32.38,25.4,2023-12-13 05:05:26,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,25.47,34.82,29.55,34.55,34.69,27.51,2023-12-13 05:06:35,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,26.52,33.02,30.43,34.97,34,28.48,2023-12-13 05:07:43,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,22.62,27.78,28.13,30.48,29.13,25.38,2023-12-13 05:08:51,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,20.62,24.42,21.62,23.47,23.95,21.12,2023-12-13 05:15:27,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,18.8,22.5,22.57,24.57,23.54,20.68,2023-12-13 05:16:35,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,17.73,23.85,20.98,23.32,23.59,19.36,2023-12-13 05:17:43,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,18.17,22.55,21.33,21.93,22.24,19.75,2023-12-13 05:18:51,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,15.47,17.58,19.28,20.48,19.03,17.38,2023-12-13 05:19:59,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,17.58,24.67,18.87,20.17,22.42,18.23,2023-12-13 05:26:31,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,17.68,24.47,18.75,22.43,23.45,18.21,2023-12-13 05:27:39,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,15.6,17.97,15.53,16.82,17.39,15.56,2023-12-13 05:28:47,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,13.77,18.23,19,21.27,19.75,16.38,2023-12-13 05:29:56,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,14.4,16.85,15.87,16.98,16.91,15.13,2023-12-13 05:31:04,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,20.83,25.52,18.68,20.88,23.2,19.75,2023-12-13 05:37:40,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,19.72,23.68,22.02,23.67,23.68,20.87,2023-12-13 05:38:48,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,20.7,25.28,17.25,17.63,21.45,18.98,2023-12-13 05:39:55,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,16.57,23.82,18.6,21.63,22.73,17.59,2023-12-13 05:41:03,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,17.78,23.63,19.13,21.2,22.41,18.45,2023-12-13 05:42:11,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,17.12,19.87,21.5,23.55,21.71,19.31,2023-12-13 05:48:42,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,17.67,19.2,19.92,22.38,20.79,18.8,2023-12-13 05:49:50,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,18.62,20.97,15.7,16.37,18.67,17.16,2023-12-13 05:50:57,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,16.18,21.82,15.3,16.4,19.11,15.74,2023-12-13 05:52:05,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,13.67,15.62,15.3,17.13,16.38,14.48,2023-12-13 05:53:13,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,17.22,21,17.28,17.98,19.49,17.25,2023-12-13 05:59:46,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,20.37,26.25,21.58,21.63,23.94,20.98,2023-12-13 06:00:54,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,20.3,23.28,17.1,18.27,20.77,18.7,2023-12-13 06:02:01,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
South African Weather Station (SAWS),-25.906411440846647,28.21068378875048,13.33,18.35,13.63,15.52,16.94,13.48,2023-12-13 06:03:10,aq_g5_126,659727fe88a3390012aca615,airqo,-25.91471642670824,28.2078668504704,raw
