File Start timestamp: 
2024-9-4,0:0:30
DeviceId,NO2(PPB),CO(PPM),PM1(UGM3),PM2.5(UGM3),PM10(UGM3),CO2(PPM),RELHUM(%),TEMP(C),PRESS(HPA),OZONE(PPB),Voltage(),LAT(LAT),LON(LON),Battery(%),Cell-Strength(),Date,Time
1526,27.5,-0.21,7,17,19,361,31.2,23.3,873.7,15.80,12.05,-25.7533432,28.2305062,67.59,99,2024-9-4,00:00:33
1526,-1.8,-0.26,7,17,19,361,31.2,23.3,873.7,19.10,12.03,-25.7533679,28.2305228,67.59,99,2024-9-4,00:00:50
1526,9.7,-0.20,8,18,20,362,31.2,23.3,873.6,18.70,11.98,-25.7533663,28.2304875,67.59,99,2024-9-4,00:01:07
1526,3.9,-0.16,8,18,20,362,31.2,23.3,873.6,19.50,12.07,-25.7533723,28.2304697,67.59,99,2024-9-4,00:01:23
1526,15.0,-0.27,9,19,21,362,31.3,23.3,873.6,20.20,12.08,-25.7533699,28.2304825,67.59,99,2024-9-4,00:01:40
1526,3.9,-0.23,10,20,21,363,31.3,23.3,873.6,20.70,12.07,-25.7533829,28.2304941,67.59,99,2024-9-4,00:01:57
1526,15.0,-0.05,10,20,22,361,31.2,23.3,873.6,21.60,12.09,-25.7533695,28.2304965,67.59,99,2024-9-4,00:02:14
1526,3.9,-0.21,10,19,20,360,31.2,23.3,873.6,20.60,12.07,-25.7533774,28.2304965,67.59,99,2024-9-4,00:02:31
1526,9.7,-0.25,10,20,20,359,31.2,23.3,873.6,20.20,12.00,-25.7533897,28.2304760,67.59,99,2024-9-4,00:02:47
1526,3.9,-0.07,10,20,20,357,31.3,23.3,873.6,18.60,12.08,-25.7533906,28.2304783,67.59,99,2024-9-4,00:03:04
1526,15.0,-0.20,10,19,20,354,31.3,23.3,873.6,20.00,12.05,-25.7533956,28.2304414,67.59,99,2024-9-4,00:03:21
1526,9.7,-0.23,9,20,20,356,31.2,23.3,873.6,19.20,12.08,-25.7533952,28.2304350,67.59,99,2024-9-4,00:03:38
1526,15.0,-0.25,8,19,19,394,31.2,23.3,873.6,18.20,12.09,-25.7534045,28.2304875,67.45,99,2024-9-4,00:04:02
1526,15.0,-0.06,10,20,21,391,31.2,23.3,873.6,19.90,12.04,-25.7533963,28.2304980,67.45,99,2024-9-4,00:04:19
1526,9.7,-0.25,10,20,21,386,31.2,23.3,873.6,19.50,12.03,-25.7533834,28.2305175,67.45,99,2024-9-4,00:04:36
1526,15.0,-0.27,10,20,21,382,31.2,23.3,873.6,18.00,12.10,-25.7534150,28.2305210,67.45,99,2024-9-4,00:04:53
1526,15.0,-0.19,10,20,21,377,31.2,23.3,873.6,20.10,12.07,-25.7534331,28.2305264,67.45,99,2024-9-4,00:05:10
1526,15.0,-0.21,11,19,21,375,31.2,23.4,873.6,19.90,12.09,-25.7533978,28.2305495,67.45,99,2024-9-4,00:05:27
1526,15.0,-0.12,9,19,20,374,31.2,23.3,873.6,18.20,12.12,-25.7533818,28.2305879,67.45,99,2024-9-4,00:05:44
1526,3.9,-0.21,10,20,21,370,31.2,23.3,873.6,18.40,12.09,-25.7533537,28.2305626,67.45,99,2024-9-4,00:06:01
1526,3.9,-0.21,10,20,21,368,31.2,23.3,873.5,18.60,12.07,-25.7532564,28.2305641,67.45,99,2024-9-4,00:06:17
1526,9.7,-0.19,9,20,21,368,31.2,23.3,873.5,18.00,12.08,-25.7531745,28.2305665,67.45,99,2024-9-4,00:06:34
1526,3.9,-0.21,9,20,21,366,31.2,23.3,873.5,18.40,12.08,-25.7531195,28.2305359,67.45,99,2024-9-4,00:06:51
1526,9.2,-0.23,9,20,21,364,31.2,23.3,873.5,18.40,12.09,-25.7530677,28.2304908,67.45,99,2024-9-4,00:07:08
1526,3.9,-0.30,10,20,21,359,31.3,23.3,873.5,18.20,12.11,-25.7531749,28.2304764,67.45,99,2024-9-4,00:07:25
1526,3.9,-0.20,10,20,21,357,31.3,23.3,873.5,18.80,12.05,-25.7531947,28.2304460,67.45,99,2024-9-4,00:07:41
1526,3.9,-0.19,11,19,20,356,31.3,23.3,873.5,18.10,12.08,-25.7531884,28.2304002,67.45,99,2024-9-4,00:07:58
1526,15.0,-0.22,12,20,21,356,31.3,23.3,873.5,17.70,12.04,-25.7532233,28.2304352,67.45,99,2024-9-4,00:08:15
1526,9.7,-0.24,12,21,22,356,31.3,23.3,873.5,18.90,12.09,-25.7531974,28.2303560,67.45,99,2024-9-4,00:08:32
1526,3.9,-0.10,11,20,21,355,31.3,23.3,873.5,17.00,12.05,-25.7531936,28.2303425,67.45,99,2024-9-4,00:08:49
1526,26.1,-0.20,10,20,21,374,31.3,23.3,873.5,18.30,12.00,-25.7532055,28.2304025,67.45,99,2024-9-4,00:09:12
1526,15.0,-0.16,10,20,21,372,31.3,23.3,873.5,19.90,12.08,-25.7532764,28.2305328,67.45,99,2024-9-4,00:09:29
1526,3.9,-0.21,9,19,20,367,31.3,23.3,873.5,19.60,12.07,-25.7532912,28.2305519,67.45,99,2024-9-4,00:09:46
1526,15.0,-0.25,8,18,19,365,31.3,23.3,873.5,18.60,12.07,-25.7533230,28.2305725,67.45,99,2024-9-4,00:10:03
1526,15.0,-0.23,8,18,19,364,31.3,23.3,873.5,20.90,12.10,-25.7532970,28.2305649,67.45,99,2024-9-4,00:10:20
1526,15.0,-0.19,9,18,19,364,31.3,23.3,873.5,18.80,12.13,-25.7532721,28.2306721,67.45,99,2024-9-4,00:10:37
1526,15.0,-0.12,9,18,19,362,31.3,23.3,873.5,20.90,12.03,-25.7532571,28.2307026,67.45,99,2024-9-4,00:10:54
1526,15.0,-0.25,9,18,19,360,31.3,23.4,873.5,19.30,12.09,-25.7531631,28.2305798,67.45,99,2024-9-4,00:11:10
1526,9.7,-0.25,9,17,18,370,31.3,23.3,873.5,17.90,12.10,-25.7532663,28.2305381,67.45,99,2024-9-4,00:11:27
